doodad_id,entry,cell_x,cell_y,x,y,z,rotation_x,rotation_y,rotation_z,yaw_degrees,scale,rotation_w,roll_degrees,pitch_degrees
14934,game/worlds/main_world/level_design/cells/030_034/doodad.g,30,34,31742.35,35767.888,216.69,0,0,-0.62932,-77.999938,0.828,0.777146,0,0
14935,game/worlds/main_world/level_design/cells/030_034/doodad.g,30,34,31740.66,35764.937,216.846,0,0,0,0,1.14,1,0,0
14948,game/worlds/main_world/level_design/cells/030_034/doodad.g,30,34,31743.25,35762.745,216.508,0,0,0.894934,-126.99994,0.924,-0.446198,0,-0
14934,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31745.44922,35760.378,216.508,0,0,0.078459,8.999986,0.6552,0.996917,0,0
14934,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31751.78662,35754.318,216.508,0,0,-0.422618,-49.99997,0.84,0.906308,0,0
14934,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31756.1953,35754.717,216.69,0,0,0.069757,8.000003,0.8,0.997564,0,0
14935,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31754.157,35752.247,216.846,0,0,0,0,1.20025,1,0,0
14936,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31745.20483,35765.533,216.69,0,0,-0.325568,-37.999992,0.926016,0.945519,0,0
14936,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31749.69531,35760.914,216.229,0,0,0.996917,170.999979,0.81,0.078459,0,0
14936,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31753.98193,35756.993,216.508,0,0,-0.309017,-36.000015,0.814672,0.951057,0,0
14937,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31749.70679,35765.418,216.76,0,0,0.93358,137.999948,0.757988,0.358368,0,0
14937,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31753.86816,35761.235,216.76,0,0,0.99863,-174.000026,0.753466,-0.052336,0,-0
14948,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31747.47998,35758.344,216.508,0,0,-0.422618,-49.99997,0.84,0.906308,0,0
14948,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31747.61865,35763.071,216.508,0,0,0.999962,178.999986,0.84,0.008727,0,0
14948,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31751.77222,35763.461,216.508,0,0,0.224951,25.999992,0.6216,0.97437,0,0
14948,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31751.84888,35759.228,216.508,0,0,0.999962,178.999986,0.84,0.008727,0,0
14948,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31756.1499,35759.786,216.508,0,0,-0.422618,-49.99997,0.9072,0.906308,0,0
14949,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31744.437744,35771.067,216.457,0,0,0.978148,-155.999996,1.0854,-0.207912,0,-0
14949,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31747.81445,35768.523,216.508,0,0,0.990268,164.000008,0.84,0.139173,0,0
14949,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31749.73438,35756.433,216.508,0,0,-0.422618,-49.99997,0.84,0.906308,0,0
14949,game/worlds/main_world/level_design/cells/031_034/doodad.g,31,34,31758.6853,35757.726,216.846,0,0,-0.777146,-102.000013,0.86,0.62932,0,0
