# zone_key	sector_y	start_sector_x	sector_count
129	226	146	16
129	227	146	16
129	228	146	16
129	229	146	16
129	230	146	16
129	231	146	16
129	232	146	16
129	233	146	16
129	234	146	16
129	235	146	16
129	236	146	16
129	237	146	16
129	238	146	16
129	239	146	16
129	240	146	16
129	241	146	16
129	242	146	15
129	243	146	15
129	244	146	15
129	245	146	16
129	246	146	19
129	247	146	19
129	248	146	19
129	249	146	19
129	250	146	19
129	251	146	19
129	252	146	19
129	253	146	19
133	174	162	23
133	175	162	23
133	176	162	23
133	177	162	23
133	178	162	24
133	179	162	25
133	180	162	25
133	181	162	26
133	182	162	26
133	183	162	9
133	183	177	11
133	184	162	8
133	184	178	10
133	185	162	7
133	185	179	9
133	186	162	7
133	186	180	8
133	187	162	7
133	187	180	8
133	188	162	7
133	188	180	9
133	189	163	6
133	189	180	9
133	190	163	6
133	190	179	10
133	191	163	7
133	191	179	10
133	192	163	9
133	192	178	11
133	193	163	10
133	193	177	10
133	194	165	19
133	195	166	15
133	196	167	12
133	197	170	8
133	198	172	5
136	96	370	14
136	97	370	16
136	98	367	22
136	99	367	25
136	100	367	24
136	101	364	27
136	102	364	27
136	103	364	27
136	104	364	27
136	105	364	25
136	106	364	24
136	107	364	24
136	108	364	24
136	109	364	24
136	110	364	24
136	111	364	24
136	112	366	25
136	113	366	25
136	114	366	31
136	115	366	31
136	116	366	31
136	117	370	27
136	118	370	28
136	119	370	28
136	120	370	28
136	121	371	27
136	122	372	26
136	123	377	24
136	124	386	15
136	125	386	15
136	126	394	7
136	127	394	7
136	128	394	7
136	129	394	7
136	130	396	5
136	131	397	4
137	86	430	4
137	87	430	4
137	88	429	5
137	89	422	12
137	90	422	13
137	91	422	14
137	92	422	15
137	93	422	15
137	94	422	16
137	95	422	16
137	96	422	16
137	97	422	16
137	98	422	16
137	99	422	16
137	100	422	16
137	101	422	16
137	102	422	15
137	103	422	15
137	104	422	15
137	105	423	14
137	106	423	14
138	130	394	2
138	131	391	6
138	132	390	26
138	133	390	26
138	134	390	28
138	135	390	33
138	136	392	31
138	137	393	30
138	138	393	30
138	139	392	32
138	140	392	32
138	141	392	32
138	142	390	35
138	143	390	35
138	144	390	36
138	145	390	37
138	146	389	37
138	147	389	37
138	148	388	38
138	149	387	39
138	150	388	37
138	151	390	35
138	152	391	34
138	153	392	33
138	154	392	32
138	155	393	30
138	156	393	30
138	157	394	23
138	158	395	21
138	159	398	18
138	160	399	16
138	161	400	14
139	178	302	16
139	179	302	16
139	180	302	16
139	181	302	29
139	182	302	29
139	183	302	29
139	184	302	29
139	185	302	29
139	186	302	24
139	187	302	25
139	188	302	25
139	189	302	26
139	190	302	26
139	191	302	26
139	192	302	26
139	193	302	26
139	194	302	29
139	195	302	33
139	196	302	33
139	197	302	33
139	198	302	33
139	199	302	32
139	200	302	28
139	201	302	28
139	202	302	28
139	203	302	28
139	204	302	28
139	205	302	29
139	206	302	30
139	207	302	30
139	208	302	30
139	209	302	30
139	210	318	14
139	211	318	14
139	212	322	10
139	213	322	10
140	210	178	11
140	210	197	7
140	211	178	26
140	212	178	26
140	213	178	26
140	214	178	33
140	215	178	33
140	216	178	33
140	217	178	33
140	218	178	33
140	219	178	33
140	220	178	33
140	221	178	32
140	222	178	32
140	223	178	32
140	224	178	32
140	225	178	32
140	226	183	26
140	227	183	26
140	228	188	21
140	229	188	18
140	230	193	12
140	231	193	11
140	232	193	11
140	233	195	8
140	234	196	4
141	108	233	51
141	109	232	53
141	110	231	55
141	111	231	55
141	112	231	55
141	113	231	55
141	114	230	56
141	115	229	57
141	116	229	57
141	117	229	57
141	118	229	57
141	119	229	57
141	120	229	57
141	121	229	57
141	122	229	57
141	123	229	57
141	124	229	57
141	125	229	57
141	126	229	56
141	127	229	55
141	128	229	52
141	129	229	50
141	130	230	49
141	131	232	47
141	132	233	46
141	133	234	43
141	134	235	19
141	134	264	11
141	135	245	9
141	135	264	10
141	136	247	7
141	136	267	7
141	137	251	3
141	137	267	8
141	138	267	9
141	139	267	11
141	140	267	12
141	141	267	13
141	142	267	14
141	143	267	14
141	144	267	13
141	145	267	12
141	146	267	12
141	147	258	21
141	148	258	12
141	148	274	5
141	149	258	12
141	149	274	5
141	150	258	12
141	150	275	4
141	151	258	12
141	151	276	3
142	210	222	12
142	211	222	12
142	212	214	4
142	212	222	12
142	213	213	21
142	214	213	21
142	215	211	19
142	216	211	19
142	217	211	17
142	218	211	17
142	219	211	17
142	220	211	17
142	221	210	18
142	222	210	18
142	223	210	18
142	224	210	18
142	225	210	18
142	226	209	19
142	227	209	19
142	228	209	19
142	229	206	22
142	230	205	23
142	231	204	24
142	232	204	24
142	233	204	24
142	234	204	24
142	235	204	22
142	236	206	20
142	237	210	17
142	238	210	17
142	239	212	15
142	240	213	14
142	241	213	14
142	242	216	11
142	243	216	11
142	244	219	8
142	245	220	7
142	246	221	6
142	247	221	6
143	188	144	4
143	188	151	2
143	189	141	13
143	190	135	19
143	191	135	19
143	192	134	20
143	193	133	21
143	194	132	25
143	195	132	25
143	196	131	26
143	197	131	26
143	198	132	25
143	199	133	24
143	200	135	21
143	201	136	20
143	202	136	20
143	203	136	20
143	204	136	20
143	205	136	20
143	206	136	20
143	207	136	20
143	208	135	21
143	209	135	21
143	210	135	23
143	211	135	23
143	211	175	3
143	212	135	25
143	212	162	10
143	212	174	4
143	213	135	25
143	213	162	16
143	214	135	43
143	215	135	43
143	216	135	43
143	217	135	43
143	218	136	42
143	219	136	42
143	220	141	37
143	221	142	36
143	222	142	36
143	223	144	34
143	224	144	34
143	225	144	34
144	237	205	5
144	238	204	6
144	239	201	11
144	240	199	14
144	241	199	14
144	242	200	16
144	243	201	15
144	244	201	18
144	245	202	18
144	246	203	18
144	247	203	18
144	248	203	23
144	249	203	23
144	250	203	23
