doodad_id,x,y,z,roll,pitch,yaw,scale,start_phase,native_entry
1354,7149.99,13770.673,1126.38,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/006_013/doodad.g
1354,7157.08,13724.386,1122.99,0.0,0.0,122.999971,1.0,2244,game/worlds/main_world/level_design/cells/006_013/doodad.g
1354,7160.77,13742.61,1124.95,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/006_013/doodad.g
1354,7164.39,13705.324,1120.33,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/006_013/doodad.g
1354,7170.33765,13672.973,1116.4,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1354,7181.9683,13642.259,1124.12,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1354,7187.4998,13758.708,1127.64,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1354,7194.8376,13688.841,1125.18,0.0,0.0,0.0,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1354,7199.5767,13742.997,1128.64,0.0,-0.0,-173.00002,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1354,7201.3472,13712.82,1129.37,0.0,0.0,-112.000062,1.0,2244,game/worlds/main_world/level_design/cells/007_013/doodad.g
1355,6917.134,13525.765,1020.46,-3.258228,29.790659,161.449725,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,6963.912,13441.979,1024.26,0.0,0.0,-61.99998,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,6964.089,13442.951,1024.26,5e-05,-85.999261,-151.999746,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,6974.163,13461.083,1023.84,38.176746,61.844064,-118.491032,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,6974.782,13461.777,1023.85,-45.000524,-86.000433,-151.999903,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,6999.033,13464.408,1024.25,0.0,0.0,-61.99998,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,7000.022,13464.657,1024.25,-45.000445,-86.000452,-152.000007,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,7021.111,13447.007,1024.95,0.0,0.0,-61.99998,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,7022.312,13446.623,1025.02,38.176746,61.844064,-118.491032,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,7028.491,13424.994,1024.17,-0.001037,-85.999532,-151.998717,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1355,7029.654,13423.877,1024.2,38.176746,61.844064,-118.491032,1.0,2240,game/worlds/main_world/level_design/cells/006_013/doodad.g
1361,6362.59,13293.46,933.3,0.0,0.0,0.0,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6366.643,13301.56,935.979,0.0,0.0,0.0,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6386.627,13277.583,935.294,0.0,0.0,0.0,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6390.324,13285.808,938.444,0.0,0.0,0.0,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6393.257,13286.603,938.795,0.0,0.0,29.999999,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6408.314,13263.577,940.787,0.0,0.0,165.000027,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6408.939,13260.124,940.456,0.0,0.0,60.999941,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6412.248,13271.271,942.516,0.0,0.0,-65.000048,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6427.589,13247.073,937.257,0.0,-0.0,-122.999971,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
1361,6431.269,13247.846,937.78,0.0,0.0,137.999948,1.0,4824,game/worlds/main_world/level_design/cells/006_012/doodad.g
