doodad_id,x,y,z,roll_degrees,pitch_degrees,yaw_degrees,scale,start_phase
13163,19082.891,29677.02,399.735,0,0,0,1,37993
13163,19244.896,29666.281,400.816,0,0,0,1,37993
13163,19311.027,29673.87,406.977,0,0,0,1,37993
13163,19320.691,29691.9,412.48,0,0,0,1,37993
13163,19364.51,29670.191,413.543,0,0,0,1,37993
13163,18736.885,29821.715,428.821,0,0,21.000059,1,37993
13163,18759.943,29746.9712,416.509,0,0,0,1,37993
13163,18773.438,29994.074,377.255,0,0,0,1,37993
13163,18792.358,29894.493,403.647,0,0,-21.000059,1,37993
13163,18798.101,30042.91,371.229,0,0,0,1,37993
13163,18851.174,29816.254,395.095,0,0,0,1,37993
13163,18854.487,29928.74,377.133,0,0,0,1,37993
13163,18867.22,30060.338,366.067,0,0,0,1,37993
13163,18884.775,29754.7363,396.846,0,0,0,1,37993
13163,18891.354,29970.259,383.4,-14.132072,7.76086,78.052708,1,37993
13163,18918.002,29879.775,395.221,0,0,0,1,37993
13163,18923.282,30061.893,369.186,0,0,0,1,37993
13163,18935.852,29818.35,396.626,0,0,-35.000027,1,37993
13163,18949.475,29757.1375,395.398,0,0,0,1,37993
13163,18963.349,30008.464,370.355,0,0,-74.999926,1,37993
13163,18974.183,29929.353,380.316,0,0,135.000088,1,37993
13163,18982.443,29845.953,385.876,0,0,0,1,37993
13163,18985.442,30048.356,369.268,0,-0,-139.00001,1,37993
13163,18988.139,29880.819,387.278,0,0,-74.999926,1,37993
13163,18994.973,29713.3306,402.965,0,0,0,1,37993
13163,19007.032,29780.0459,402.234,0,0,96.000025,1,37993
13163,19015.361,29867.206,385.696,0,0,0,1,37993
13163,19050.368,30048.005,378.193,0,0,0,1,37993
13163,19055.845,29959.028,387.349,0,0,0,1,37993
13163,19073.898,29877.502,404.057,-13.999997,0.000009,80.000094,1,37993
13163,19076.084,29796.166,391.754,0,0,96.000025,1,37993
13163,19110.518,30020.663,385.832,0,0,0,1,37993
13163,19124.142,29954.955,400.229,0,0,0,1,37993
13163,19124.859,30100.145,394.008,0,0,0,1,37993
13163,19132.176,29862.025,389.306,0,-0,-167.000029,1,37993
13163,19155.452,30053.759,391.216,0,0,0,1,37993
13163,19156.434,29763.5769,389.026,0,0,0,1,37993
13163,19172.406,29966.002,390.905,0,0,-90.000035,1,37993
13163,19172.571,29886.104,386.055,0,0,0,1,37993
13163,19173.209,30129.385,409.427,0,0,0,1,37993
13163,19176.625,29992.797,391.528,0,0,0,1,37993
13163,19198.528,30363.845,443.934,0,0,148.000061,1,37993
13163,19203.436,30295.629,442.412,0,-0,-174.000003,1,37993
13163,19208.273,30167.199,424.622,0,0,179.999995,1,37993
13163,19217.615,30220.792,431.689,0,0,-92.000033,1,37993
13163,19234.469,30354.783,438.735,0,0,-92.000033,1,37993
13163,19243.706,29730.3264,402.22,0,0,0,1,37993
13163,19255.642,29776.1611,414.446,0,0,0,1,37993
13163,19265.44,30273.873,436.621,0,0,-92.000033,1,37993
13163,19265.674,29709.6399,397.988,0,0,0,1,37993
13163,19289.492,29833.327,405.88,0,0,0,1,37993
13163,19315.244,29911.051,414.499,0,0,0,1,37993
13163,19320.177,30328.33,441.639,0,0,92.999942,1,37993
13163,19324.509,29726.4971,403.628,0,0,0,1,37993
13163,19336.278,29782.6318,410.902,0,0,0,1,37993
13163,19342.686,29819.102,407.031,0,0,0,1,37993
13163,19348.506,29842.472,402.436,0,0,0,1,37993
13163,19364.4,29888.271,404.865,0,0,0,1,37993
13163,19370.171,29951.982,410.69,0,0,0,1,37993
13163,19373.962,29997.995,422.105,0,0,0,1,37993
13163,19426.522,30078.525,425.565,0,0,0,1,37993
13223,18978,31331.33,485.355,0,0,-8.000003,1,38062
13223,18996.584,31326.384,480.72,0,0,0,1,38062
13223,19015.446,31324.05,485.836,0,0,0,1,38062
13223,19023.105,31406.009,488.847,0,0,-31.999963,1,38062
13223,19023.826,31370.917,487.034,0,0,58.000065,1,38062
13223,19044.86,31519.751,501.68,0,0,-35.000027,1,38062
13223,19362.356,31015.748,427.16,0,0,0,1,38062
13223,19362.54,30970.656,421.945,0,0,0,1,38062
13223,19372.492,30949.346,421.405,0,0,0,1,38062
13223,19385.098,31030.779,424.33,0,0,0,1,38062
13223,19389.516,31068.263,427.264,0,0,0,1,38062
13223,19410.134,31074.823,426.934,0,0,0,1,38062
13223,19415.286,31137.653,425.407,0,0,0,1,38062
13223,19422.932,30891.872,425.517,0,0,0,1,38062
13223,19439.65,30875.224,427.978,0,0,0,1,38062
13223,19555.0439,30630.484,387.763,0,0,0,1,38062
13223,19557.054,30548.106,392.283,0,0,0,1,38062
13223,19559.481,30508.208,392.046,0,0,0,1,38062
13223,19568.119,30443.39,391.897,0,0,0,1,38062
13223,19568.885,30607.257,388.731,0,0,0,1,38062
13223,19569.394,30674.786,389.151,0,0,0,1,38062
13223,19571.631,30479.4,391.73,0,0,0,1,38062
13223,19571.88,30572.428,391.836,0,0,0,1,38062
13223,19598.816,30355.17,392.562,0,0,0,1,38062
13223,19601.456,30666.888,391.449,0,0,0,1,38062
13223,19604.168,30426.811,391.151,0,0,0,1,38062
13223,19619.097,30380.416,392.877,0,0,0,1,38062
13223,19626.556,30410.683,392.058,0,0,0,1,38062
13223,19668.501,30280.065,370.719,0,0,0,1,38062
13223,19690.955,30288.458,369.97,0,0,0,1,38062
13223,19700.135,30256.713,370.696,0,0,0,1,38062
13223,19732.642,30674.631,437.627,0,0,0,1,38062
13223,19732.701,30241.03,370.228,0,0,0,1,38062
13223,19762.15,30693.977,437.931,0,0,0,1,38062
13223,19764.172,30234.844,371.38,0,0,0,1,38062
13223,19797.892,30240.417,371.322,0,0,0,1,38062
13223,19834.341,30224.404,371.492,0,0,0,1,38062
13223,19870.06,30252.284,370.085,0,0,0,1,38062
13223,19896.134,30266.533,366.123,0,0,0,1,38062
13223,19941.265,30303.941,366.114,0,0,0,1,38062
13223,19990.603,30323.743,366.388,0,0,0,1,38062
13223,20014.143,30313.216,366.373,0,0,0,1,38062
13223,20045.951,30293.808,366.379,0,0,0,1,38062
13223,20048.623,30323.426,366.488,0,0,0,1,38062
13223,19477.3242,30856.878,425.855,0,0,0,1,38062
13223,19506.1055,30823.02,424.729,0,0,0,1,38062
13223,19526.0879,30800.9751,425.797,0,0,0,1,38062
13223,19538.8003,30751.5784,424.391,0,0,0,1,38062
13223,19550.8635,30729.83154,424.514,0,0,0,1,38062
13223,19855.077,30777.2512,441.82,0,0,0,1,38062
13294,19765.5,31059.441,506.784,0,0,90.000035,1,38259
13308,20234.59,29765.0698,376.08,0,-0,-160.000033,1,38276
13319,19477.5693,29743.6724,407.122,0,0,92.999938,1,39119
13319,19481.1379,29749.6089,407.377,0,0,92.999938,1,39119
13319,19482.5713,29738.4084,406.931,0,0,92.999938,1,39119
13319,19505.4224,30044.888,427.039,0,0,87.000067,1,39119
13319,19509.2681,30037.554,425.269,0,0,87.000067,1,39119
13319,19510.0408,30050.615,425.854,0,0,87.000067,1,39119
13319,19628.165,30199.164,401.901,0,0,118.999994,1,39119
13319,19629.219,30207.499,401.01,0,0,118.999994,1,39119
13319,19630.448,29800.274,392.195,0,0,125,1,39119
13319,19631.73,29807.535,391.586,0,0,125,1,39119
13319,19635.209,30195.854,401.443,0,0,118.999994,1,39119
13319,19637.469,29797.564,391.852,0,0,125,1,39119
13319,19654.825,29979.987,414.688,0,0,78.999971,1,39119
13319,19658.115,29971.828,414.476,0,0,78.999971,1,39119
13319,19661.51,29985.524,414.83,0,0,78.999971,1,39119
13319,19895.778,30085.389,394.556,0,0,104.999956,1,39119
13319,19899.895,30092.277,394.908,0,0,104.999956,1,39119
13319,19901.314,30080.945,394.372,0,0,104.999956,1,39119
13319,19964.179,29860.834,388.306,0,0,115.999997,1,39119
13319,19964.684,29866.699,388.306,0,0,115.999997,1,39119
13319,19970.001,29859.407,388.306,0,0,115.999997,1,39119
13378,18709.699,30315.266,404.397,0,-0,-150.000019,1,38577
13380,18720.855,30279.388,374.984,0,0,-71.000017,1,39065
13380,18728.574,30285.691,374.677,0,0,170.000014,1,39065
13382,18728.693,30276.603,373.504,0,0,30.999941,1,38581
13383,18722.87,30280.561,374.802,0,-0,-158.999956,1,38584
13383,18727.044,30278.983,374.206,0,-0,-158.999956,1,38584
13383,18728.007,30283.27,374.603,0,-0,-158.999956,1,38584
13386,20274.488,29738.3672,375.435,0,0,23.000014,1,38770
13387,20276.144,29736.3369,375.389,0,0,32.999963,1,38771
13388,20275.79,29740.4243,375.06,0,0,155.999996,1,38592
13389,20272.522,29737.0771,375.404,0,0,-54.999916,1,38593
13390,19392.804,30413.23,465.636,0,-0,-122.000021,1,38594
13393,19392.352,30411.063,465.707,0,0,-102.000013,1,38607
13394,19465.27441,30329.743,441.14,0,0,-115.000108,1,38606
13395,19464.45996,30327.184,441.813,0,0,-102.000013,1,38604
13396,19382.217,30632.954,431.073,0,0,117.000148,1,38609
13397,19375.834,30628.829,430.38,0,0,-7.000008,1,38610
13397,19377.614,30643.494,430.38,0,0,61.99998,1,38610
13397,19386.234,30627.508,430.309,0,0,102.000013,1,38610
13401,19382.213,30632.685,431.143,0,0,0,1,38618
13403,18763.851,30978.087,509.127,0,0,-35.000027,1,38620
13410,20190.701,30003.814,458.432,0,0,84.000065,1,38634
13424,18905.216,31153.574,486.242,0,-0,-168.000055,1,38824
13426,20273.568,29741.4741,375.356,0,-0,-157.000013,1,38882
13427,20269.917,29744.7026,375.217,0,0,29.999999,1,38883
13428,18725.583,30281.366,374.592,0,0,0,1,38885
13430,18729.157,30275.888,373.306,0,-0,-147.000056,1,38936
13431,19463.82666,30328.781,442.154,0,0,-74.999926,1,38944
13432,19394.567,30415.592,465.283,0,-0,-165.000027,1,38947
13433,19396.723,30413.713,465.946,0,0,125,1,38948
13435,18909.068,31141.947,485.006,0,0,142.000057,1,38957
13436,20278.519,29734.8157,375.27,0,0,39.000004,1,38960
13439,20276.068,29739.1069,375.478,0,0,130.999982,1,38968
13440,20277.305,29735.844,375.409,0,0,39.000004,1,38969
13443,19840.253,30745.8086,465.294,0,0,-39.999992,1,38976
13444,19672.121,30562.247,481.923,0,0,19.999983,1,38977
13445,19768.096,30535.928,481.718,0,0,0,1,38978
13446,20236.342,29759.5569,376.445,0,0,12.000064,1,38979
13447,20238.74,29763.2717,376.218,0,0,70.000087,1,38981
13448,20232.908,29762.106,376.179,0,0,-25.999992,1,38983
13449,20228.97,29663.925,385.519,0,0,-25.999992,1,38986
13450,20227.691,29668.435,385.538,0,-0,-124.000088,1,38988
13451,20230.222,29669.933,385.376,0,-0,-159.000061,1,38990
13452,20226.079,29667.882,385.539,0,0,-105.000114,1,39002
13454,20231.041,29670.755,385.401,0,-0,-162.000032,1,38996
13455,20230.676,29662.338,385.514,0,0,11.999947,1,38998
13456,20228.58,29661.736,385.503,0,0,-18.000058,1,39000
13456,20229.305,29670.143,385.521,0,-0,-135.000088,1,39000
13457,20237.853,29760.9375,376.454,0,0,-0.000003,1,39005
13458,19396.304,30406.453,466.629,0,0,48.999958,1,39015
13458,19401.655,30413.251,467.268,0,0,48.999958,1,39015
13458,19468.835,30335.747,440.12,0,0,74.000006,1,39015
13458,19470.2349,30323.433,441.105,0,0,67.000007,1,39015
13465,18727.022,30279.094,377.618,0,-0,-124.000031,1,39033
13471,20997.574,31018.572,876.231,0,0,-29.000009,1,39042
13471,21003.838,31015.615,876.231,0,0,-29.000009,1,39042
13471,21004.865,31031.725,876.231,0,0,-29.000009,1,39042
13471,21010.073,31012.763,876.231,0,0,-29.000009,1,39042
13471,21011.15,31028.806,876.231,0,0,-29.000009,1,39042
13471,21016.647,31009.668,876.231,0,0,-29.000009,1,39042
13471,21017.401,31025.983,876.231,0,0,-29.000009,1,39042
13471,21023.992,31022.917,876.231,0,0,-29.000009,1,39042
13474,20227.824,29665.838,385.538,0,0,-48.999958,1,39049
13475,20227.765,29662.348,385.538,0,0,-24.000046,1,39051
13476,20226.475,29663.33,385.538,0,0,-39.000004,1,39053
13477,20226.1,29666.107,385.538,0,0,-73.000036,1,39055
13477,20229.645,29662.178,385.506,0,0,8.999974,1,39055
13478,20225.513,29666.596,385.538,0,0,-84.000065,1,39057
13479,20227.348,29669.394,385.521,0,-0,-121.000021,1,39059
13486,20272.382,29738.9009,375.404,0,0,-112.000062,1,39072
13489,20269.267,29737.5508,375.344,0,0,19.000054,1,39080
13561,20989.818,31010.121,869.183,0,-0,-122.000074,1,39351
13561,20991.638,31002.106,868.636,0,0,-45.000092,1,39351
13561,20992.747,31011.755,868.793,0,0,177.99998,1,39351
13561,20995.467,31016.71,868.692,0,-0,-132.999996,1,39351
13561,20998.148,31020.286,868.66,0,-0,-126.000094,1,39351
13561,21001.515,31022.484,869.336,0,-0,-155.999996,1,39351
13561,21002.894,31003.958,869.262,0,0,102.999968,1,39351
13561,21007.379,31025.539,868.856,0,0,-75.999929,1,39351
13561,21007.5,31009.458,869.049,0,0,42.999983,1,39351
13561,21008.887,31033.049,868.882,0,-0,-135.000013,1,39351
13561,21009.705,31012.619,869.096,0,0,42.999983,1,39351
13561,21011.37,31027.615,868.005,69.000053,-0.00002,49.00007,1,39351
13561,21012.238,31019.241,869.191,0,0,135.999986,1,39351
13561,21019.76,31023.332,868.544,0,0,48.999958,1,39351
13561,21023.623,31027.687,868.53,0,0,48.999958,1,39351
13564,21405.688,30993.262,814.224,-4.695516,1.638527,-70.544154,1,40459
13566,21295.347,30654.748,811.428,0,0,96.000025,1,39628
13567,21072.735,31007.218,875.338,0,0,11.999947,1,39579
13568,21121.221,30969.208,882.274,0,0,-26.999957,1,39582
13569,21071.62,31010.121,875.338,0,-0,-144.000048,1,39585
13571,21260.48,30258.197,764.138,0,0,44.999955,1,39797
13571,21265.682,30321.779,764.448,0,0,44.999955,1,39797
13571,21274.143,30092.629,718.745,0,0,-55.000061,1,39797
13571,21294.657,30019.455,718.837,0,0,44.999955,1,39797
13571,21298.063,30289.367,764.698,0,0,-44.999955,1,39797
13571,21305.828,30067.611,718.695,0,0,-55.000061,1,39797
13571,21341.346,30077.299,718.843,0,0,49.99997,1,39797
13572,21054.093,30444.698,786.691,0,0,19.000054,1,39593
13574,21832.992,30973.506,745.043,0,-0,-157.999988,1,39605
13575,22383.723,31071.536,656.794,0,0,0,1,39806
13575,22435.162,31134.261,646.192,0,0,0,1,39806
13575,22444.429,31060.025,652.278,0,0,0,1,39806
13576,22392.256,30932.46,666.509,0,0,-14.999979,1,39607
13578,21868.622,30075.705,590.893,-160.999989,-0.000013,39.000022,1,40123
13579,21861.699,30079.637,588.752,0,0,1.000018,1,39614
13581,21834.917,30775.0698,674.883,0,0,0,1,39635
13584,20865.608,31185.403,927.708,0,0,-2,1,40116
13599,21836.661,30070.151,588.913,0,0,-17.999939,1.3,39339
13599,21842.309,30074.691,589.035,0,0,29.000009,1.3,39339
13641,21754.928,30775.042,674.974,0,0,0,1,39708
13642,21914.928,30775.042,674.629,0,0,0,1,39711
13671,21295.361,30656.104,811.538,0,-0,-144.000048,1,40463
13672,21186.739,29794.9023,674.923,0,0,0,1,39795
13673,21836.276,30879.287,680.762,0,0,154.99996,1,39800
13674,22358.816,31513.362,707.391,0,0,137.000067,1,39804
13678,21697.065,30042.179,576.683,0,-0,-147.000056,1,40464
13680,22475.247,29672.84,567.798,0,0,42.999983,1,39830
13681,22278.918,30204.189,567.931,0,0,-90.999928,1,39835
13682,21186.782,29795.0049,673.886,0,0,0,1,39837
13683,22358.923,31513.313,706.096,0,0,0,1,39840
13684,22475.399,29672.72,566.509,0,0,0,1,39842
13687,21834.196,30880.964,681.053,0,-0,-178.999997,1,40157
13721,21834.688,30074.779,588.717,0,0,-53.000016,1,40498
13732,21075.601,31009.266,875.348,0,0,104.000049,1,40512
