doodad_id,x,y,z,roll,pitch,yaw,scale,start_phase,zone_key,native_entry
671,10969.912,15623.262,246.753,0.0,0.0,115.999997,1.0,460,182,game/worlds/main_world/level_design/cells/010_015/doodad.g
677,11729.264,14889.405,129.12,0.0,-0.0,-140.000053,1.0,468,182,game/worlds/main_world/level_design/cells/011_014/doodad.g
677,11836.813,14908.591,133.201,0.0,0.0,99.999923,1.0,468,182,game/worlds/main_world/level_design/cells/011_014/doodad.g
703,12562.511,13138.765,114.007,0.0,0.0,-92.000033,1.0,201,185,game/worlds/main_world/level_design/cells/012_012/doodad.g
705,8761.901,12634.241,287.451,0.0,0.0,51.999978,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8809.325,12683.411,302.623,0.0,0.0,-48.000035,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8810.014,12682.818,302.678,0.0,0.0,32.999963,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8818.548,12633.827,301.15,0.0,0.0,30.999941,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8822.859,12619.023,301.095,0.0,0.0,65.000048,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8824.068,12621.351,301.341,0.0,0.0,65.000048,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8853.351,12709.493,307.319,0.0,0.0,56.000046,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8854.707,12711.261,307.799,0.0,0.0,0.0,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8886.798,12648.089,318.142,-8.783791,7.085175,-133.359713,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8901.269,12711.277,313.507,0.0,0.0,21.999997,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8915.629,12684.11,319.559,12.450081,3.771026,163.411494,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
705,8917.047,12663.425,318.722,13.006123,-15.249497,83.411022,1.0,1370,143,game/worlds/main_world/level_design/cells/008_012/doodad.g
